CUUNIT,CUDESC,CUTYPE,CUTABL,CUPROM,CUOBSO,CUUNDR,CUMSTI,CUSUBI,CUSYMB,CUSEL1,CUSEL2,CUSEL3,CUSEL4,CUSEL5,CUATR1,CUATR2,CUATR3,CUATR4,CUATR5,CUCOLD,CUHOT,CURMV,CUFERC,CUFEAT,CUKIND,CUADDI,CURNUM,CURDTE,CURDES,CUEFCC,CUEFYY,CUEFMM,CUEFDD,CUCRCC,CUCRYY,CUCRMM,CUCRDD,CUCRTT,CUCRUU,CUCHCC,CUCHYY,CUCHMM,CUCHDD,CUCHTT,CUCHUU
11131S,"NUT, SILICON BRONZE, 1/2"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,WSS,,,,,,,,,,,,,364,NONGIS,,99,1,2/03,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,Somebody,20,5,4,15,113440,DDAWSON
11132S,"WASHER, BELLEVILLE, STAINLESS STEEL, 1/2"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,WSS,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11133S,"WASHER, BELLEVILLE, STAINLESS STEEL, 1 5/16"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,WSS,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11134S,"WASHER, LOCK, STAINLESS STEEL, 1/2"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,WSS,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11135S,"WASHER, FLAT, STAINLESS STEEL, 1/2"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,WSS,,,,,,,,,,,,,373,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11136S,"LAG SCREW, 1/2"" X 4""",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,LGS,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11137S,"BRACE, ALLEY ARM, 7'",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ARB,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11138S,"BRACE, ALLEY ARM, 10'",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ARB,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11139S,Obsolete Crossarm 28 inch,N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ARB,,,,,,,,,,,,,364,NONGIS,,99,1,08/07,OBSOLETE,19,95,1,1,0,0,0,0,0,MNess,20,7,9,5,93239,MNESS
11140S,"Obsolete Crossarm, Angle 48 inch",N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ARB,,,,,,,,,,,,,364,NONGIS,,99,1,08/07,OBSOLETE,19,95,1,1,0,0,0,0,0,MNess,20,7,9,5,93246,MNESS
11141S,"Obsolete Crossarm, Angle, 60 inch",N,SITEINV,Stock Number Assm,O,,STOCK,OHM,0,ARB,,,,,,,,,,,,,364,NONGIS,,99,1,08/07,OBSOLETE,19,95,1,1,0,0,0,0,0,MNess,20,7,9,5,93255,MNESS
11142S,"BRACKET, W/BAR, CONDUIT RISER,",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,BRC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113456,DDAWSON
11143S,"BRACKET, CONDUIT RISER, ALUM, BRACKET ONLY-NO BAR.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,BRC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113457,DDAWSON
11144S,"BRACKET, 2"" CONDUIT STRAP.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,BRC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113457,DDAWSON
