PAFRM,PATO,PAQTY,PABUBB,PAFLAG,PAEFCC,PAEFYY,PAEFMM,PAEFDD,PASTCC,PASTYY,PASTMM,PASTDD,PACRCC,PACRYY,PACRMM,PACRDD,PACRTT,PACRUU,PACHCC,PACHYY,PACHMM,PACHDD,PACHTT,PACHUU
42.27,TDT394,3,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.27,TSP394,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.28,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.28,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.28,IP25LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.28,TDS394,3,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.28,TSP394,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.29,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.29,AMFLS,6,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.29,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.29,IP25SS,6,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.29,TDT394,3,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.29,TSP394,1,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.30,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.30,IPN13LS,2,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.30,IPN15LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.30,TDT,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.33,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.33,IP15LS,2,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.33,IP25LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.33,TDS,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.34,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.34,IPN13SS,2,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140333,DDAWSON
42.34,IPN15SS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.34,TDT,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.34,AMFLS,8,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.35,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.35,IP15SS,2,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.35,IP25SS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.35,TDT,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.35,AMFLS,8,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.37,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
